id,channelName,likes,url,viewCount,date,numberOfSubscribers,title,commentsCount
VeVw_OXnBFU,Lenskart,145,https://www.youtube.com/shorts/VeVw_OXnBFU,8628,2024-05-29T00:00:00.000Z,,Why Hooper is Kids Favourite | #Shorts | #Lenskart,4
iAY_--lu05o,Lenskart,158,https://www.youtube.com/shorts/iAY_--lu05o,8579,2023-12-15T00:00:00.000Z,,Lenskart Gold Rush SALE IS HERE ft. Mrunal Thakur | #Shorts | #Lenskart,3
6O1X40yLSjQ,Lenskart,204,https://www.youtube.com/shorts/6O1X40yLSjQ,8482,2024-02-19T00:00:00.000Z,,Best Selling Eyeglasses on Lenskart | #Shorts | #Lenskart,1
xZuiYR___9Q,Lenskart,107,https://www.youtube.com/shorts/xZuiYR___9Q,6429,2024-06-02T00:00:00.000Z,,#SPOTTED Nitibha Kaul at the Lenskart Store,4
6D8XuCZqDl8,Lenskart,91,https://www.youtube.com/shorts/6D8XuCZqDl8,5107,2024-02-25T00:00:00.000Z,,The New NEON HUSTLR Glasses | #Shorts | #Lenskart,2
qn_1LtMatz4,Lenskart,79,https://www.youtube.com/shorts/qn_1LtMatz4,5159,2024-03-07T00:00:00.000Z,,Celebrate Women's Day With Special DISCOUNT | #Shorts | #Lenskart,2
81kwfpwzF4g,Lenskart,105,https://www.youtube.com/shorts/81kwfpwzF4g,5196,2024-04-22T00:00:00.000Z,,This Is What You Can Do With Your Old Glasses | Lenskart Buyback | #Shorts | #Lenskart,2
DRIGNp_eFEY,Lenskart,58,https://www.youtube.com/shorts/DRIGNp_eFEY,5396,2024-04-08T00:00:00.000Z,,Every Time You Want To Buy New Glasses | #Shorts | #Lenskart,2
kQOTvYYEdaY,Lenskart,162,https://www.youtube.com/shorts/kQOTvYYEdaY,5310,2024-06-26T00:00:00.000Z,,GLASSES THAT WON'T FALL AT ALL | Lenskart Air Pro-Fit | #Shorts | #Lenskart,3
9Yp4x2W4txc,Lenskart,163,https://www.youtube.com/shorts/9Yp4x2W4txc,5292,2024-03-10T00:00:00.000Z,,Helping The Ones In Need | #GlassesBadloIndiaBadlo | #Shorts | #Lenskart,2
GopUj5M-6AY,Lenskart,87,https://www.youtube.com/shorts/GopUj5M-6AY,5331,2024-01-25T00:00:00.000Z,,Essential Packing List for a Winter Trip | #Shorts | #Lenskart,1
fDt90HAgGEA,Lenskart,175,https://www.youtube.com/shorts/fDt90HAgGEA,5462,2024-05-22T00:00:00.000Z,,Inside Lenskart Store | #Shorts | #Lenskart,2
aJ-n7SfetbI,Lenskart,98,https://www.youtube.com/shorts/aJ-n7SfetbI,5507,2024-04-23T00:00:00.000Z,,TOP REASONS Why You Should Visit the Lenskart Store | #Shorts | #Lenskart,1
